player,upload_date,video_id,url,avg_angry,avg_disgust,avg_fear,avg_happy,avg_sad,avg_surprise,avg_neutral,dominant_emotion,frames_analyzed,historical_gmsc_avg,next_game_gmsc
James Harden,2021-10-30 000000,Js46nkL7qiE,https://www.youtube.com/watch?v=Js46nkL7qiE,0.7892,0.0046,33.5317,1.8963,28.124,0.1466,35.5075,fear,50,14.98,20.1
James Harden,2021-10-28 000000,aXdLqRqIxKk,https://www.youtube.com/watch?v=aXdLqRqIxKk,8.0815,0.0306,37.8232,7.4885,22.3263,2.5707,21.6792,fear,50,12.44,27.7
James Harden,2021-10-23 000000,YF-gejdTuo4,https://www.youtube.com/watch?v=YF-gejdTuo4,0.0587,0.0,25.67,1.8244,8.0065,0.3499,64.0906,neutral,50,16.6,6.4
James Harden,2021-10-20 000000,DCDizmxElLM,https://www.youtube.com/watch?v=DCDizmxElLM,3.1064,0.0,22.7312,12.9691,41.5553,0.0712,19.5668,sad,50,17.6,15.6
Jordan Poole,2022-05-27 000000,hCXURnD3zPA,https://www.youtube.com/watch?v=hCXURnD3zPA,20.139,0.4883,54.5785,0.0623,5.163,16.9756,2.5933,fear,50,12.86,2.5
Jordan Poole,2022-05-25 000000,sI8B6xVNMd4,https://www.youtube.com/watch?v=sI8B6xVNMd4,3.6076,0.0732,49.4477,2.4115,23.9831,7.6146,12.8624,fear,50,12.83,15.6
Jordan Poole,2022-05-23 000000,uKMxANUBKbo,https://www.youtube.com/watch?v=uKMxANUBKbo,34.4445,0.8774,9.4612,44.764,3.6394,0.8746,5.9389,happy,50,12.87,9.1
Jordan Poole,2022-05-21 000000,TXcAItiPYEc,https://www.youtube.com/watch?v=TXcAItiPYEc,10.9327,0.009,19.6204,1.7619,32.161,0.8774,34.6376,neutral,50,12.91,9.0
Jordan Poole,2022-05-19 000000,Mdu_uiEq0KU,https://www.youtube.com/watch?v=Mdu_uiEq0KU,4.6639,0.0093,23.3781,29.6848,8.9111,16.3929,16.9601,happy,50,12.82,20.8
Jordan Poole,2022-05-08 000000,J7-2J0a0Azs,https://www.youtube.com/watch?v=J7-2J0a0Azs,11.1751,0.081,6.9448,2.518,18.2791,0.7631,60.2388,neutral,50,13.14,7.7
Jordan Poole,2022-05-04 000000,j8-9BdLbV-Q,https://www.youtube.com/watch?v=j8-9BdLbV-Q,0.0044,0.0,1.3572,4.269,0.1398,93.4376,0.792,surprise,50,13.06,19.7
Jordan Poole,2022-04-22 000000,YNCpKQ8rDQc,https://www.youtube.com/watch?v=YNCpKQ8rDQc,9.6893,0.0132,31.8316,0.9553,36.4179,0.59,20.5028,sad,50,13.03,12.1
Jordan Poole,2022-04-19 000000,RLvDT1hhNRY,https://www.youtube.com/watch?v=RLvDT1hhNRY,21.408,0.6487,18.3847,12.2406,17.039,4.9554,25.3234,angry,50,12.93,20.8
Jordan Poole,2022-04-17 000000,o0WRPseNnr4,https://www.youtube.com/watch?v=o0WRPseNnr4,23.3247,0.6251,26.6009,1.5978,21.9676,10.9194,14.9645,angry,50,12.72,28.8
Jordan Poole,2022-04-11 000000,I_Nh8cPvTTY,https://www.youtube.com/watch?v=I_Nh8cPvTTY,33.4452,0.0209,24.1896,4.8138,20.9203,0.4929,16.1173,angry,50,12.59,22.3
Jordan Poole,2022-04-08 000000,0MehScMgFF0,https://www.youtube.com/watch?v=0MehScMgFF0,0.8647,0.0,34.2727,4.7794,7.3513,0.0357,52.6962,neutral,50,12.59,10.9
Jordan Poole,2022-04-03 000000,ZP9Y2hxU1N4,https://www.youtube.com/watch?v=ZP9Y2hxU1N4,3.8749,0.0,3.0933,14.9886,28.1048,0.0001,49.9383,neutral,50,12.52,14.1
Jordan Poole,2022-03-31 000000,nbODJb-IXD8,https://www.youtube.com/watch?v=nbODJb-IXD8,3.9754,0.0,6.9236,61.7472,5.7623,0.0163,21.5751,happy,50,12.42,19.7
Jordan Poole,2022-03-26 000000,bpPWjaXKdW8,https://www.youtube.com/watch?v=bpPWjaXKdW8,3.493,4.0013,11.825,2.1225,18.2875,2.2401,58.0305,neutral,50,12.03,13.9
Jordan Poole,2022-03-24 000000,rUwn5PFiBRs,https://www.youtube.com/watch?v=rUwn5PFiBRs,4.1896,0.0075,13.9343,6.1068,25.4929,10.1765,40.0924,neutral,50,12.02,13.0
Jordan Poole,2022-03-23 000000,7CkTExVVw04,https://www.youtube.com/watch?v=7CkTExVVw04,0.0976,0.0,48.699,1.8249,36.3791,0.0098,12.9896,fear,50,11.85,23.1
Jordan Poole,2022-03-21 000000,G1R2BQj2G6k,https://www.youtube.com/watch?v=G1R2BQj2G6k,10.2766,0.1826,20.4511,9.4161,15.8118,0.8492,43.0127,neutral,50,11.82,13.5
